student_id,offering_id,grade,grade_update
24,51,NOT SET,
25,51,NOT SET,
26,51,NOT SET,
27,51,NOT SET,
28,51,NOT SET,
29,51,NOT SET,
30,51,NOT SET,
21,52,NOT SET,
22,52,NOT SET,
23,52,NOT SET,
24,52,NOT SET,
25,52,NOT SET,
26,52,NOT SET,
27,52,NOT SET,
28,52,NOT SET,
29,52,NOT SET,
30,52,NOT SET,
21,53,NOT SET,
22,53,NOT SET,
23,53,NOT SET,
24,53,NOT SET,
25,53,NOT SET,
26,53,NOT SET,
27,53,NOT SET,
28,53,NOT SET,
29,53,NOT SET,
30,53,NOT SET,
